,artist_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,count,genre,id,genreid
0,792507,0.384478451,0.238016728,0.36428824,4.702130806,-14.27114098,1,5,0.857699379,0.616454788,0.95538336,0.976808488,189179.9255,26.00438276,1369,Vocal,1,1
1,79016,0.57263653,0.201368037,0.498934429,4.699681608,-13.22596621,1,5,0.953151945,0.581444049,0.953475952,0.978563713,185131.453,15.62100457,1095,Vocal,2,1
2,184502,0.429264195,0.241637312,0.391095829,4.691925484,-13.24842526,1,0,0.912367071,0.51643286,0.952872719,0.978322426,213098.657,21.38122827,863,Vocal,3,1
3,813392,0.466482284,0.219624242,0.474845455,4.711094193,-14.47550583,1,7,0.930911151,0.633526869,0.947689101,0.975843681,160655.7145,19.28088578,858,Vocal,4,1
4,411761,0.444465378,0.331484605,0.454504042,4.740408671,-13.37796134,1,9,0.883141143,0.665494512,0.962079121,0.978024078,233122.2689,28.67486819,569,Vocal,5,1
5,189644,0.420640187,0.162301262,0.344906542,4.701616105,-15.27329206,1,0,0.936009875,0.550357846,0.950617991,0.976554169,170319.3925,13.86448598,428,Vocal,6,1
6,204901,0.396687664,0.217473753,0.30104042,4.701208948,-13.60581627,1,10,0.932540908,0.38960759,0.95535755,0.976844404,192804.0682,15.3648294,381,Vocal,7,1
7,256349,0.580865385,0.232966346,0.514472436,4.749943353,-13.53125,1,7,0.899226876,0.603451692,0.947202409,0.977087552,166680.7212,18.95192308,312,Vocal,8,1
8,247966,0.425232877,0.188913014,0.275021918,4.6642568,-14.6087911,1,10,0.902803852,0.534497553,0.945207723,0.97640149,156406.7842,21.18150685,292,Vocal,9,1
9,181694,0.707340517,0.321103448,0.839594828,4.751029543,-14.93200862,1,3,0.932518374,0.746048195,0.944600601,0.984863628,167915.9353,0.301724138,232,Vocal,10,1
10,855531,0.364187963,0.295540278,0.295737037,4.673107136,-13.62372685,1,9,0.849753668,0.599258417,0.951883492,0.979395819,227347.9259,30.95833333,216,Vocal,11,1
11,952794,0.52478744,0.292848309,0.559783575,4.735619164,-14.8793913,1,5,0.902901924,0.572476946,0.958927242,0.985402718,220073.7874,19.73429952,207,Vocal,12,1
12,260038,0.441668293,0.242009756,0.381358049,4.692617294,-13.11069756,1,0,0.910890746,0.636951355,0.952629492,0.977336317,206142.2878,18.05853659,205,Vocal,13,1
13,246885,0.285819209,0.36019887,0.279984181,4.652726175,-11.53729944,1,5,0.910230616,0.599610554,0.94648909,0.974410308,208032.0226,20.20903955,177,Vocal,14,1
14,479028,0.523528736,0.230475862,0.507505747,4.761286224,-14.43431609,1,7,0.908848583,0.475785066,0.946378743,0.978880131,184202.1264,14.1954023,174,Vocal,15,1
